"Uniprot","Genes","Pathways"
"H3BT71","RBMX","Cluster 5"
"H3BTN5","PKM","Cluster 2"
"H3BU53","MGA","Cluster 3"
"H3BUY5","RBMX","Cluster 5"
"H7BY16","NCL","Cluster 5"
"H7BY36","EWSR1","Cluster 5"
"H7BZ55","CROCC2","Cluster 3"
"H7BZ97","ITGA6","Cluster 3"
"H7BZJ3","PDIA3","Cluster 5"
"H7C0N4","SF1","Cluster 5"
"H7C144","ACTN4","Cluster 4"
"H7C2K6","EPB41L1","Cluster 3"
"H7C3M7","FARP2","Cluster 3"
"H7C525","CCDC58","Cluster 5"
"H9KV77","COPRS","Cluster 1"
"I3L2B0","CLUH","Cluster 2"
"I3L2J0","CIC","Cluster 5"
"I3L3C6","BAIAP2","Cluster 3"
"I3L4Q0","MCRIP1","Cluster 1"
"I6L894","ANK2","Cluster 3"
"J3KN01","AFDN","Cluster 3"
"J3KN59","BNIP2","Cluster 3"
"J3KNZ9","FBRS","Cluster 5"
"J3KP75","PHACTR2","Cluster 3"
"J3KP97","CCDC18","Cluster 3"
"J3KQV8","SYNJ1","Cluster 3"
"J3KR25","TRIB3","Cluster 3"
"J3KRF5","CLTC","Cluster 4"
"J3KT72","NAT9","Cluster 1"
"J3QK89","CHERP","Cluster 5"
"J3QLK0","RAC3","Cluster 3"
"J3QRU1","YES1","Cluster 3"
"J3QW43","MPDU1","Cluster 4"
"K4DIA0","ICOSLG","Cluster 3"
"K7ELL7","PRKCSH","Cluster 5"
"K7ELW5","PTBP1","Cluster 3"
"K7EM38","ACTG1","Cluster 3"
"K7EMQ3","DNM2","Cluster 2"
"K7EMX1","SPC24","Cluster 1"
"K7ENA8","EIF3G","Cluster 1"
"K7EPC8","ELOF1","Cluster 3"
"K7ER90","EIF3G","Cluster 1"
"M0QXA7","WIZ","Cluster 5"
"M0QZR4","ARHGEF1","Cluster 2"
"M0R019","HNRNPM","Cluster 1"
"M0R189","MPND","Cluster 3"
"M0R1L7","CHMP2A","Cluster 2"
"M0R1T5","CHMP2A","Cluster 2"
"M0R2J8","DCDC1","Cluster 3"
"M0R2S1","UBA52","Cluster 1"
"O00115","DNASE2","Cluster 3"
"O00116","AGPS","Cluster 3"
"O00124","UBXN8","Cluster 4"
"O00142","TK2","Cluster 4"
"O00148","DDX39A","Cluster 4"
"O00151","PDLIM1","Cluster 3"
"O00154","ACOT7","Cluster 2"
"O00159","MYO1C","Cluster 4"
"O00160","MYO1F","Cluster 3"
"O00161","SNAP23","Cluster 5"
"O00165","HAX1","Cluster 5"
"O00170","AIP","Cluster 1"
"O00178","GTPBP1","Cluster 2"
"O00180","KCNK1","Cluster 3"
"O00182","LGALS9","Cluster 3"
"O00186","STXBP3","Cluster 4"
"O00189","AP4M1","Cluster 2"
"O00192","ARVCF","Cluster 3"
"O00194","RAB27B","Cluster 3"
"O00203","AP3B1","Cluster 2"
"O00204","SULT2B1","Cluster 3"
"O00212","RHOD","Cluster 3"
"O00213","APBB1","Cluster 3"
"O00217","NDUFS8","Cluster 5"
"O00220","TNFRSF10A","Cluster 3"
"O00221","NFKBIE","Cluster 1"
"O00231","PSMD11","Cluster 2"
"O00232","PSMD12","Cluster 2"
"O00233","PSMD9","Cluster 1"
"O00244","ATOX1","Cluster 1"
"O00255","MEN1","Cluster 4"
"O00257","CBX4","Cluster 5"
"O00258","WRB","Cluster 4"
"O00264","PGRMC1","Cluster 5"
"O00267","SUPT5H","Cluster 4"
"O00268","TAF4","Cluster 5"
"O00273","DFFA","Cluster 1"
"O00287","RFXAP","Cluster 5"
"O00291","HIP1","Cluster 4"
"O00299","CLIC1","Cluster 1"
"O00300","TNFRSF11B","Cluster 3"
"O00303","EIF3F","Cluster 1"
"O00308","WWP2","Cluster 4"
"O00311","CDC7","Cluster 3"
"O00329","PIK3CD","Cluster 3"
"O00330","PDHX","Cluster 5"
"O00338","SULT1C2","Cluster 3"
"O00339","MATN2","Cluster 1"
"O00391","QSOX1","Cluster 3"
"O00399","DCTN6","Cluster 1"
"O00400","SLC33A1","Cluster 4"
"O00401","WASL","Cluster 2"
"O00408","PDE2A","Cluster 3"
"O00411","POLRMT","Cluster 4"
"O00418","EEF2K","Cluster 1"
"O00422","SAP18","Cluster 5"
"O00425","IGF2BP3","Cluster 3"
"O00443","PIK3C2A","Cluster 4"
"O00458","IFRD1","Cluster 3"
"O00459","PIK3R2","Cluster 2"
"O00461","GOLIM4","Cluster 3"
"O00462","MANBA","Cluster 4"
"O00463","TRAF5","Cluster 3"
"O00471","EXOC5","Cluster 2"
"O00472","ELL2","Cluster 3"
"O00478","BTN3A3","Cluster 3"
"O00479","HMGN4","Cluster 5"
"O00481","BTN3A1","Cluster 4"
"O00483","NDUFA4","Cluster 5"
"O00487","PSMD14","Cluster 2"
"O00488","ZNF593","Cluster 5"
"O00499","BIN1","Cluster 3"
"O00505","KPNA3","Cluster 2"
"O00506","STK25","Cluster 2"
"O00512","BCL9","Cluster 3"
"O00515","LAD1","Cluster 3"
"O00519","FAAH","Cluster 3"
"O00522","KRIT1","Cluster 2"
"O00534","VWA5A","Cluster 3"
"O00541","PES1","Cluster 4"
"O00559","EBAG9","Cluster 4"
"O00560","SDCBP","Cluster 3"
"O00562","PITPNM1","Cluster 4"
"O00566","MPHOSPH10","Cluster 5"
"O00567","NOP56","Cluster 4"
"O00570","SOX1","Cluster 3"
