"Uniprot","Genes","Pathways"
"Q6P2Q9","PRPF8","Cluster 4"
"Q6P3S6","FBXO42","Cluster 3"
"Q6P3W2","DNAJC24","Cluster 1"
"Q6P3W7","SCYL2","Cluster 2"
"Q6P3X3","TTC27","Cluster 2"
"Q6P444","MTFR2","Cluster 5"
"Q6P499","NIPAL3","Cluster 3"
"Q6P4A7","SFXN4","Cluster 4"
"Q6P4A8","PLBD1","Cluster 3"
"Q6P4F2","FDX2","Cluster 5"
"Q6P4F7","ARHGAP11A","Cluster 5"
"Q6P4I2","WDR73","Cluster 1"
"Q6P4Q7","CNNM4","Cluster 4"
"Q6P4R8","NFRKB","Cluster 5"
"Q6P582","MZT2A","Cluster 1"
"Q6P587","FAHD1","Cluster 5"
"Q6P5R6","RPL22L1","Cluster 3"
"Q6P5X5","C22orf39","Cluster 5"
"Q6P5Z2","PKN3","Cluster 5"
"Q6P6B1","ERICH5","Cluster 3"
"Q6P6B7","ANKRD16","Cluster 1"
"Q6P6C2","ALKBH5","Cluster 5"
"Q6P996","PDXDC1","Cluster 2"
"Q6P996","PDXDC1","Cluster 2"
"Q6P9B6","MEAK7","Cluster 3"
"Q6P9B9","INTS5","Cluster 4"
"Q6P9F7","LRRC8B","Cluster 4"
"Q6PCB0","VWA1","Cluster 3"
"Q6PCB5","RSBN1L","Cluster 5"
"Q6PCB6","ABHD17C","Cluster 3"
"Q6PCB7","SLC27A1","Cluster 4"
"Q6PCB8","EMB","Cluster 3"
"Q6PCD5","RFWD3","Cluster 4"
"Q6PCE3","PGM2L1","Cluster 3"
"Q6PCT2","FBXL19","Cluster 4"
"Q6PD62","CTR9","Cluster 4"
"Q6PD74","AAGAB","Cluster 1"
"Q6PFW1","PPIP5K1","Cluster 2"
"Q6PGP7","TTC37","Cluster 2"
"Q6PH81","C16orf87","Cluster 3"
"Q6PH85","DCUN1D2","Cluster 2"
"Q6PHR2","ULK3","Cluster 2"
"Q6PI47","KCTD18","Cluster 4"
"Q6PI48","DARS2","Cluster 4"
"Q6PI78","TMEM65","Cluster 4"
"Q6PI98","INO80C","Cluster 5"
"Q6PID6","TTC33","Cluster 5"
"Q6PID8","KLHDC10","Cluster 2"
"Q6PIF6","MYO7B","Cluster 3"
"Q6PII3","CCDC174","Cluster 1"
"Q6PIJ6","FBXO38","Cluster 4"
"Q6PIU2","NCEH1","Cluster 3"
"Q6PIW4","FIGNL1","Cluster 1"
"Q6PIY7","TENT2","Cluster 4"
"Q6PJ61","FBXO46","Cluster 3"
"Q6PJ69","TRIM65","Cluster 3"
"Q6PJG2","ELMSAN1","Cluster 5"
"Q6PJG6","BRAT1","Cluster 2"
"Q6PJI9","WDR59","Cluster 4"
"Q6PJW8","CNST","Cluster 5"
"Q6PK04","CCDC137","Cluster 3"
"Q6PKG0","LARP1","Cluster 2"
"Q6PL18","ATAD2","Cluster 5"
"Q6PL24","TMED8","Cluster 1"
"Q6PML9","SLC30A9","Cluster 4"
"Q6PUV4","CPLX2","Cluster 3"
"Q6Q0C0","TRAF7","Cluster 4"
"Q6QNY0","BLOC1S3","Cluster 1"
"Q6QNY1","BLOC1S2","Cluster 1"
"Q6RFH5","WDR74","Cluster 5"
"Q6RI45","BRWD3","Cluster 3"
"Q6RW13","AGTRAP","Cluster 4"
"Q6S5L8","SHC4","Cluster 3"
"Q6SJ93","FAM111B","Cluster 3"
"Q6SPF0","SAMD1","Cluster 5"
"Q6STE5","SMARCD3","Cluster 3"
"Q6SZW1","SARM1","Cluster 3"
"Q6T4R5","NHS","Cluster 3"
"Q6UB28","METAP1D","Cluster 5"
"Q6UB35","MTHFD1L","Cluster 4"
"Q6UB98","ANKRD12","Cluster 5"
"Q6UB99","ANKRD11","Cluster 5"
"Q6ULP2","AFTPH","Cluster 1"
"Q6UN15","FIP1L1","Cluster 5"
"Q6UUV7","CRTC3","Cluster 1"
"Q6UUV9","CRTC1","Cluster 1"
"Q6UVJ0","SASS6","Cluster 1"
"Q6UVK1","CSPG4","Cluster 3"
"Q6UVY6","MOXD1","Cluster 3"
"Q6UW02","CYP20A1","Cluster 4"
"Q6UW68","TMEM205","Cluster 4"
"Q6UW78","UQCC3","Cluster 3"
"Q6UWB1","IL27RA","Cluster 3"
"Q6UWE0","LRSAM1","Cluster 2"
"Q6UWI4","SHISA2","Cluster 3"
"Q6UWJ1","TMCO3","Cluster 4"
"Q6UWP2","DHRS11","Cluster 1"
"Q6UWP7","LCLAT1","Cluster 4"
"Q6UWP8","SBSN","Cluster 3"
"Q6UWS5","PET117","Cluster 4"
"Q6UWW8","CES3","Cluster 3"
"Q6UWY0","ARSK","Cluster 3"
"Q6UWZ7","ABRAXAS1","Cluster 4"
"Q6UX04","CWC27","Cluster 5"
"Q6UX07","DHRS13","Cluster 4"
"Q6UX53","METTL7B","Cluster 3"
"Q6UX65","DRAM2","Cluster 4"
"Q6UX71","PLXDC2","Cluster 3"
"Q6UXD5","SEZ6L2","Cluster 3"
"Q6UXG2","KIAA1324","Cluster 3"
"Q6UXI9","NPNT","Cluster 3"
"Q6UXM1","LRIG3","Cluster 3"
"Q6UXN9","WDR82","Cluster 4"
"Q6UXV4","APOOL","Cluster 3"
"Q6UXY1","BAIAP2L2","Cluster 3"
"Q6UXY8","TMC5","Cluster 3"
"Q6UY14","ADAMTSL4","Cluster 3"
"Q6V0I7","FAT4","Cluster 3"
"Q6V1P9","DCHS2","Cluster 3"
"Q6V1X1","DPP8","Cluster 2"
"Q6VAB6","KSR2","Cluster 3"
"Q6VMQ6","ATF7IP","Cluster 5"
"Q6VN20","RANBP10","Cluster 5"
"Q6VY07","PACS1","Cluster 3"
"Q6W2J9","BCOR","Cluster 5"
"Q6WCQ1","MPRIP","Cluster 4"
"Q6WKZ4","RAB11FIP1","Cluster 3"
"Q6XE24","RBMS3","Cluster 3"
"Q6XQN6","NAPRT","Cluster 3"
"Q6XUX3","DSTYK","Cluster 2"
"Q6XZF7","DNMBP","Cluster 3"
"Q6Y1H2","HACD2","Cluster 4"
"Q6Y288","B3GLCT","Cluster 3"
"Q6Y2X3","DNAJC14","Cluster 4"
"Q6Y7W6","GIGYF2","Cluster 1"
"Q6YHK3","CD109","Cluster 3"
"Q6YHU6","THADA","Cluster 2"
"Q6YN16","HSDL2","Cluster 4"
"Q6YP21","KYAT3","Cluster 4"
"Q6ZMI0","PPP1R21","Cluster 2"
"Q6ZMP0","THSD4","Cluster 1"
"Q6ZMU5","TRIM72","Cluster 3"
"Q6ZMZ3","SYNE3","Cluster 3"
"Q6ZN04","MEX3B","Cluster 3"
"Q6ZN17","LIN28B","Cluster 3"
"Q6ZN18","AEBP2","Cluster 3"
"Q6ZN28","MACC1","Cluster 3"
"Q6ZN30","BNC2","Cluster 3"
"Q6ZN40","TPM1","Cluster 3"
"Q6ZN54","DEF8","Cluster 3"
"Q6ZN66","GBP6","Cluster 3"
"Q6ZNB6","NFXL1","Cluster 4"
"Q6ZNC8","MBOAT1","Cluster 3"
"Q6ZNE5","ATG14","Cluster 2"
"Q6ZNJ1","NBEAL2","Cluster 2"
"Q6ZNL6","FGD5","Cluster 3"
"Q6ZNW5","GDPGP1","Cluster 1"
"Q6ZPD9","DPY19L3","Cluster 4"
"Q6ZQQ6","WDR87","Cluster 3"
"Q6ZR64","MXRA7","Cluster 3"
"Q6ZRI6","C15orf39","Cluster 1"
"Q6ZRP7","QSOX2","Cluster 4"
"Q6ZRQ5","MMS22L","Cluster 4"
"Q6ZRS2","SRCAP","Cluster 4"
"Q6ZRV2","FAM83H","Cluster 3"
"Q6ZRY4","RBPMS2","Cluster 3"
"Q6ZS11","RINL","Cluster 3"
"Q6ZS30","NBEAL1","Cluster 4"
"Q6ZS81","WDFY4","Cluster 3"
"Q6ZS86","GK5","Cluster 5"
"Q6ZSJ8","C1orf122","Cluster 1"
"Q6ZSS7","MFSD6","Cluster 3"
"Q6ZSZ5","ARHGEF18","Cluster 2"
"Q6ZSZ6","TSHZ1","Cluster 4"
"Q6ZT07","TBC1D9","Cluster 3"
"Q6ZT21","TMPPE","Cluster 4"
"Q6ZTI6","RFLNA","Cluster 3"
"Q6ZTI6","RFLNA","Cluster 3"
"Q6ZTQ3","RASSF6","Cluster 3"
"Q6ZU65","UBN2","Cluster 5"
"Q6ZU80","CEP128","Cluster 5"
"Q6ZUJ8","PIK3AP1","Cluster 3"
"Q6ZUM4","ARHGAP27","Cluster 3"
"Q6ZUT6","CCDC9B","Cluster 3"
"Q6ZUX7","LHFPL2","Cluster 3"
"Q6ZV73","FGD6","Cluster 3"
"Q6ZVF9","GPRIN3","Cluster 3"
"Q6ZVK8","NUDT18","Cluster 2"
"Q6ZVM7","TOM1L2","Cluster 3"
"Q6ZW31","SYDE1","Cluster 3"
"Q6ZW49","PAXIP1","Cluster 4"
"Q6ZW76","ANKS3","Cluster 3"
"Q6ZWB6","KCTD8","Cluster 3"
"Q6ZWJ1","STXBP4","Cluster 3"
"Q6ZWT7","MBOAT2","Cluster 3"
"Q6ZXV5","TMTC3","Cluster 4"
"Q6ZYL4","GTF2H5","Cluster 5"
"Q702N8","XIRP1","Cluster 5"
"Q709C8","VPS13C","Cluster 2"
"Q709F0","ACAD11","Cluster 4"
"Q70CQ2","USP34","Cluster 4"
"Q70CQ3","USP30","Cluster 4"
"Q70E73","RAPH1","Cluster 3"
"Q70EK8","USP53","Cluster 3"
"Q70EK9","USP51","Cluster 3"
"Q70EL1","USP54","Cluster 5"
"Q70EL4","USP43","Cluster 3"
"Q70HW3","SLC25A26","Cluster 4"
"Q70IA6","MOB2","Cluster 2"
"Q70JA7","CHSY3","Cluster 3"
"Q70SY1","CREB3L2","Cluster 3"
"Q70UQ0","IKBIP","Cluster 4"
"Q70Z35","PREX2","Cluster 3"
"Q70Z53","FRA10AC1","Cluster 1"
"Q712K3","UBE2R2","Cluster 1"
"Q71DI3","HIST2H3A","Cluster 3"
"Q71DI3","HIST2H3A","Cluster 3"
"Q71DI3","HIST2H3A","Cluster 3"
"Q71DI3","HIST2H3C","Cluster 3"
"Q71DI3","HIST2H3C","Cluster 3"
"Q71DI3","HIST2H3C","Cluster 3"
"Q71DI3","HIST2H3D","Cluster 3"
"Q71DI3","HIST2H3D","Cluster 3"
"Q71DI3","HIST2H3D","Cluster 3"
"Q71F23","CENPU","Cluster 5"
"Q71F56","MED13L","Cluster 4"
"Q71RG4","TMUB2","Cluster 4"
"Q71UI9","H2AFV","Cluster 4"
"Q71UM5","RPS27L","Cluster 2"
"Q75N03","CBLL1","Cluster 5"
"Q75QN2","INTS8","Cluster 4"
"Q75T13","PGAP1","Cluster 3"
"Q76FK4","NOL8","Cluster 5"
"Q76I76","SSH2","Cluster 3"
"Q76L83","ASXL2","Cluster 5"
"Q76MJ5","ERN2","Cluster 3"
"Q76N32","CEP68","Cluster 5"
"Q76N89","HECW1","Cluster 3"
"Q7KYR7","BTN2A1","Cluster 4"
"Q7KZ85","SUPT6H","Cluster 4"
"Q7KZF4","SND1","Cluster 2"
"Q7KZI7","MARK2","Cluster 4"
"Q7KZN9","COX15","Cluster 4"
"Q7L014","DDX46","Cluster 4"
"Q7L0J3","SV2A","Cluster 3"
"Q7L0Y3","TRMT10C","Cluster 4"
"Q7L1T6","CYB5R4","Cluster 2"
"Q7L1V2","MON1B","Cluster 2"
"Q7L1W4","LRRC8D","Cluster 4"
"Q7L211","ABHD13","Cluster 4"
"Q7L266","ASRGL1","Cluster 3"
"Q7L273","KCTD9","Cluster 3"
"Q7L2H7","EIF3M","Cluster 2"
"Q7L2J0","MEPCE","Cluster 5"
"Q7L2Z9","CENPQ","Cluster 5"
"Q7L311","ARMCX2","Cluster 3"
"Q7L3B6","CDC37L1","Cluster 1"
"Q7L3S4","ZNF771","Cluster 3"
"Q7L3T8","PARS2","Cluster 4"
"Q7L3V2","RTL10","Cluster 1"
"Q7L4E1","MIGA2","Cluster 4"
"Q7L4I2","RSRC2","Cluster 5"
"Q7L4P6","BEND5","Cluster 4"
"Q7L523","RRAGA","Cluster 4"
"Q7L576","CYFIP1","Cluster 3"
"Q7L590","MCM10","Cluster 3"
"Q7L591","DOK3","Cluster 3"
"Q7L592","NDUFAF7","Cluster 4"
"Q7L5D6","GET4","Cluster 2"
"Q7L5L3","GDPD3","Cluster 3"
"Q7L5N1","COPS6","Cluster 2"
"Q7L5N7","LPCAT2","Cluster 3"
"Q7L5Y1","ENOSF1","Cluster 2"
"Q7L5Y9","MAEA","Cluster 2"
"Q7L775","EPM2AIP1","Cluster 3"
"Q7L7V1","DHX32","Cluster 3"
"Q7L7X3","TAOK1","Cluster 2"
"Q7L804","RAB11FIP2","Cluster 4"
"Q7L8J4","SH3BP5L","Cluster 1"
"Q7L8L6","FASTKD5","Cluster 4"
"Q7L8W6","DPH6","Cluster 1"
"Q7L945","ZNF627","Cluster 3"
"Q7L9B9","EEPD1","Cluster 3"
"Q7LBC6","KDM3B","Cluster 3"
"Q7LBR1","CHMP1B","Cluster 1"
"Q7LFL8","CXXC5","Cluster 3"
"Q7LGA3","HS2ST1","Cluster 4"
"Q7LGC8","CHST3","Cluster 3"
"Q7RTN6","STRADA","Cluster 3"
"Q7RTP6","MICAL3","Cluster 3"
"Q7RTS9","DYM","Cluster 2"
"Q7RTV0","PHF5A","Cluster 5"
"Q7RTV2","GSTA5","Cluster 3"
"Q7RTV3","ZNF367","Cluster 5"
"Q7RTV5","PRXL2C","Cluster 3"
"Q7Z2E3","APTX","Cluster 3"
"Q7Z2K6","ERMP1","Cluster 4"
"Q7Z2K8","GPRIN1","Cluster 3"
"Q7Z2T5","TRMT1L","Cluster 4"
"Q7Z2W4","ZC3HAV1","Cluster 3"
"Q7Z2W9","MRPL21","Cluster 4"
"Q7Z2Y5","NRK","Cluster 3"
"Q7Z2Z1","TICRR","Cluster 4"
"Q7Z2Z2","EFL1","Cluster 2"
"Q7Z333","SETX","Cluster 4"
"Q7Z388","DPY19L4","Cluster 4"
"Q7Z392","TRAPPC11","Cluster 2"
"Q7Z3B1","NEGR1","Cluster 3"
"Q7Z3B3","KANSL1","Cluster 5"
"Q7Z3B4","NUP54","Cluster 5"
"Q7Z3C6","ATG9A","Cluster 4"
"Q7Z3D4","LYSMD3","Cluster 5"
"Q7Z3E2","CCDC186","Cluster 1"
"Q7Z3E5","ARMC9","Cluster 2"
"Q7Z3G6","PRICKLE2","Cluster 3"
"Q7Z3J2","VPS35L","Cluster 3"
"Q7Z3K3","POGZ","Cluster 4"
"Q7Z3T8","ZFYVE16","Cluster 3"
"Q7Z3V4","UBE3B","Cluster 2"
"Q7Z403","TMC6","Cluster 4"
"Q7Z412","PEX26","Cluster 4"
"Q7Z417","NUFIP2","Cluster 1"
"Q7Z422","SZRD1","Cluster 1"
"Q7Z434","MAVS","Cluster 5"
"Q7Z449","CYP2U1","Cluster 3"
"Q7Z460","CLASP1","Cluster 2"
"Q7Z478","DHX29","Cluster 2"
"Q7Z4F1","LRP10","Cluster 4"
"Q7Z4G1","COMMD6","Cluster 1"
"Q7Z4G4","TRMT11","Cluster 3"
"Q7Z4H3","HDDC2","Cluster 1"
"Q7Z4H7","HAUS6","Cluster 1"
"Q7Z4L5","TTC21B","Cluster 3"
"Q7Z4Q2","HEATR3","Cluster 2"
"Q7Z4W1","DCXR","Cluster 3"
"Q7Z569","BRAP","Cluster 1"
"Q7Z589","EMSY","Cluster 5"
"Q7Z591","AKNA","Cluster 3"
"Q7Z5G4","GOLGA7","Cluster 4"
"Q7Z5J4","RAI1","Cluster 5"
"Q7Z5L9","IRF2BP2","Cluster 5"
"Q7Z5N4","SDK1","Cluster 3"
"Q7Z5P9","MUC19","Cluster 3"
"Q7Z5R6","APBB1IP","Cluster 3"
"Q7Z5U6","WDR53","Cluster 1"
"Q7Z5Y7","KCTD20","Cluster 1"
"Q7Z624","CAMKMT","Cluster 2"
"Q7Z628","NET1","Cluster 3"
"Q7Z698","SPRED2","Cluster 3"
"Q7Z699","SPRED1","Cluster 3"
"Q7Z6B0","CCDC91","Cluster 3"
"Q7Z6B7","SRGAP1","Cluster 3"
"Q7Z6E9","RBBP6","Cluster 5"
"Q7Z6G8","ANKS1B","Cluster 3"
"Q7Z6I6","ARHGAP30","Cluster 4"
"Q7Z6I8","C5orf24","Cluster 5"
"Q7Z6J0","SH3RF1","Cluster 3"
"Q7Z6J6","FRMD5","Cluster 3"
"Q7Z6J8","UBE3D","Cluster 2"
"Q7Z6J9","TSEN54","Cluster 1"
"Q7Z6K3","PTAR1","Cluster 2"
"Q7Z6K5","ARPIN","Cluster 3"
"Q7Z6M1","RABEPK","Cluster 1"
"Q7Z6M3","MILR1","Cluster 3"
"Q7Z6M4","MTERF4","Cluster 4"
"Q7Z6P3","RAB44","Cluster 3"
"Q7Z6V5","ADAT2","Cluster 3"
"Q7Z6Z7","HUWE1","Cluster 2"
"Q7Z736","PLEKHH3","Cluster 3"
"Q7Z739","YTHDF3","Cluster 2"
"Q7Z7A1","CNTRL","Cluster 3"
"Q7Z7A3","CTU1","Cluster 2"
"Q7Z7A4","PXK","Cluster 2"
"Q7Z7B0","FILIP1","Cluster 3"
"Q7Z7B1","PIGW","Cluster 5"
"Q7Z7D3","VTCN1","Cluster 3"
"Q7Z7E8","UBE2Q1","Cluster 2"
"Q7Z7F0","KHDC4","Cluster 1"
"Q7Z7G8","VPS13B","Cluster 4"
"Q7Z7H5","TMED4","Cluster 5"
"Q7Z7K0","CMC1","Cluster 5"
"Q7Z7K6","CENPV","Cluster 3"
"Q7Z7L1","SLFN11","Cluster 3"
"Q7Z7L7","ZER1","Cluster 2"
"Q7Z7L8","C11orf96","Cluster 3"
"Q7Z7M0","MEGF8","Cluster 4"
"Q7Z7M9","GALNT5","Cluster 3"
"Q7Z7N9","TMEM179B","Cluster 3"
"Q86SE9","PCGF5","Cluster 3"
"Q86SF2","GALNT7","Cluster 4"
"Q86SJ2","AMIGO2","Cluster 3"
"Q86SK9","SCD5","Cluster 3"
"Q86SQ0","PHLDB2","Cluster 3"
"Q86SQ4","ADGRG6","Cluster 3"
"Q86SQ7","SDCCAG8","Cluster 3"
"Q86SR1","GALNT10","Cluster 4"
"Q86SX6","GLRX5","Cluster 5"
"Q86SZ2","TRAPPC6B","Cluster 3"
"Q86T24","ZBTB33","Cluster 5"
"Q86T65","DAAM2","Cluster 3"
"Q86T90","KIAA1328","Cluster 3"
"Q86TB9","PATL1","Cluster 2"
"Q86TC9","MYPN","Cluster 5"
"Q86TG7","PEG10","Cluster 3"
"Q86TI0","TBC1D1","Cluster 3"
"Q86TJ2","TADA2B","Cluster 4"
"Q86TM6","SYVN1","Cluster 4"
"Q86TN4","TRPT1","Cluster 1"
"Q86TP1","PRUNE1","Cluster 2"
"Q86TS9","MRPL52","Cluster 5"
"Q86TU7","SETD3","Cluster 2"
"Q86TW2","ADCK1","Cluster 4"
"Q86TX2","ACOT1","Cluster 3"
"Q86U06","RBM23","Cluster 5"
"Q86U28","ISCA2","Cluster 5"
"Q86U38","NOP9","Cluster 4"
"Q86U42","PABPN1","Cluster 5"
"Q86U44","METTL3","Cluster 1"
"Q86U86","PBRM1","Cluster 4"
"Q86U90","YRDC","Cluster 1"
"Q86UA1","PRPF39","Cluster 2"
"Q86UB9","TMEM135","Cluster 4"
"Q86UD0","SAPCD2","Cluster 3"
"Q86UD1","OAF","Cluster 3"
"Q86UE4","MTDH","Cluster 4"
"Q86UK0","ABCA12","Cluster 3"
"Q86UK5","EVC2","Cluster 3"
"Q86UL3","GPAT4","Cluster 4"
"Q86UN3","RTN4RL2","Cluster 3"
"Q86UP2","KTN1","Cluster 4"
"Q86UQ4","ABCA13","Cluster 3"
"Q86US8","SMG6","Cluster 2"
"Q86UT6","NLRX1","Cluster 3"
"Q86UT8","CCDC84","Cluster 5"
"Q86UU0","BCL9L","Cluster 3"
"Q86UV5","USP48","Cluster 2"
"Q86UW6","N4BP2","Cluster 3"
"Q86UW9","DTX2","Cluster 3"
"Q86UX2","ITIH5","Cluster 3"
"Q86UX6","STK32C","Cluster 3"
"Q86UX7","FERMT3","Cluster 3"
"Q86UY0","TXNDC5","Cluster 5"
"Q86UY5","FAM83A","Cluster 3"
"Q86UY6","NAA40","Cluster 2"
"Q86UY8","NT5DC3","Cluster 4"
"Q86V15","CASZ1","Cluster 3"
"Q86V21","AACS","Cluster 2"
"Q86V24","ADIPOR2","Cluster 3"
"Q86V48","LUZP1","Cluster 5"
"Q86V59","PNMA8A","Cluster 3"
"Q86V81","ALYREF","Cluster 5"
"Q86V85","GPR180","Cluster 3"
"Q86V87","FAM160B2","Cluster 2"
"Q86V88","MDP1","Cluster 1"
"Q86V97","KBTBD6","Cluster 4"
"Q86VE0","MYPOP","Cluster 5"
"Q86VI3","IQGAP3","Cluster 3"
"Q86VI4","LAPTM4B","Cluster 3"
"Q86VN1","VPS36","Cluster 2"
"Q86VP1","TAX1BP1","Cluster 3"
"Q86VP6","CAND1","Cluster 2"
"Q86VQ1","GLCCI1","Cluster 3"
"Q86VQ6","TXNRD3","Cluster 3"
"Q86VR2","RETREG3","Cluster 4"
"Q86VS8","HOOK3","Cluster 3"
"Q86VU5","COMTD1","Cluster 4"
"Q86VV8","RTTN","Cluster 3"
"Q86VW0","SESTD1","Cluster 3"
"Q86VX2","COMMD7","Cluster 2"
"Q86VX9","MON1A","Cluster 3"
"Q86VY4","TSPYL5","Cluster 3"
"Q86VZ4","LRP11","Cluster 3"
"Q86VZ5","SGMS1","Cluster 4"
"Q86W33","TPRA1","Cluster 4"
"Q86W34","AMZ2","Cluster 3"
"Q86W42","THOC6","Cluster 5"
"Q86W50","METTL16","Cluster 3"
"Q86W56","PARG","Cluster 2"
"Q86W74","ANKRD46","Cluster 4"
"Q86WA6","BPHL","Cluster 5"
"Q86WA8","LONP2","Cluster 4"
"Q86WA9","SLC26A11","Cluster 3"
"Q86WB0","ZC3HC1","Cluster 5"
"Q86WC4","OSTM1","Cluster 5"
"Q86WG5","SBF2","Cluster 3"
"Q86WH2","RASSF3","Cluster 3"
"Q86WI1","PKHD1L1","Cluster 3"
"Q86WJ1","CHD1L","Cluster 2"
"Q86WK9","PAQR7","Cluster 3"
"Q86WN1","FCHSD1","Cluster 3"
"Q86WQ0","NR2C2AP","Cluster 1"
"Q86WR0","CCDC25","Cluster 1"
"Q86WR7","PROSER2","Cluster 3"
"Q86WT1","TTC30A","Cluster 3"
"Q86WU2","LDHD","Cluster 3"
"Q86WV6","TMEM173","Cluster 3"
"Q86WW8","COA5","Cluster 5"
"Q86WX3","RPS19BP1","Cluster 5"
"Q86X02","CDR2L","Cluster 3"
"Q86X10","RALGAPB","Cluster 4"
"Q86X27","RALGPS2","Cluster 3"
"Q86X29","LSR","Cluster 3"
"Q86X52","CHSY1","Cluster 4"
"Q86X53","ERICH1","Cluster 3"
"Q86X55","CARM1","Cluster 2"
"Q86X76","NIT1","Cluster 1"
"Q86X83","COMMD2","Cluster 2"
"Q86X95","CIR1","Cluster 5"
"Q86XA9","HEATR5A","Cluster 2"
"Q86XE5","HOGA1","Cluster 3"
"Q86XF0","DHFR2","Cluster 1"
"Q86XI2","NCAPG2","Cluster 4"
"Q86XI8","ZSWIM9","Cluster 3"
"Q86XJ1","GAS2L3","Cluster 3"
"Q86XL3","ANKLE2","Cluster 5"
"Q86XN7","PROSER1","Cluster 3"
"Q86XN8","MEX3D","Cluster 1"
"Q86XP3","DDX42","Cluster 4"
"Q86XR8","CEP57","Cluster 5"
"Q86XT9","TMEM219","Cluster 4"
"Q86XZ4","SPATS2","Cluster 2"
"Q86Y07","VRK2","Cluster 3"
"Q86Y13","DZIP3","Cluster 3"
"Q86Y37","CACUL1","Cluster 3"
"Q86Y38","XYLT1","Cluster 3"
"Q86Y39","NDUFA11","Cluster 4"
"Q86Y56","DNAAF5","Cluster 2"
"Q86Y79","PTRH1","Cluster 5"
"Q86Y82","STX12","Cluster 4"
"Q86Y97","KMT5C","Cluster 3"
"Q86YB8","ERO1B","Cluster 3"
"Q86YC2","PALB2","Cluster 5"
"Q86YD1","PTOV1","Cluster 4"
"Q86YH6","PDSS2","Cluster 4"
"Q86YI8","PHF13","Cluster 5"
"Q86YL5","TDRP","Cluster 3"
"Q86YM7","HOMER1","Cluster 3"
"Q86YN1","DOLPP1","Cluster 4"
"Q86YQ8","CPNE8","Cluster 3"
"Q86YR5","GPSM1","Cluster 3"
"Q86YS6","RAB43","Cluster 4"
"Q86YT6","MIB1","Cluster 4"
"Q86YV0","RASAL3","Cluster 3"
"Q86YV5","PRAG1","Cluster 3"
"Q86YV9","HPS6","Cluster 2"
"Q86Z02","HIPK1","Cluster 5"
"Q8IU60","DCP2","Cluster 3"
"Q8IU81","IRF2BP1","Cluster 5"
"Q8IU85","CAMK1D","Cluster 3"
"Q8IUC4","RHPN2","Cluster 3"
"Q8IUC6","TICAM1","Cluster 1"
"Q8IUD2","ERC1","Cluster 3"
"Q8IUD6","RNF135","Cluster 3"
"Q8IUE1","TGIF2LX","Cluster 3"
"Q8IUE6","HIST2H2AB","Cluster 3"
"Q8IUF1","CBWD2","Cluster 1"
"Q8IUF8","RIOX2","Cluster 3"
"Q8IUG5","MYO18B","Cluster 3"
"Q8IUH3","RBM45","Cluster 5"
"Q8IUH4","ZDHHC13","Cluster 3"
"Q8IUH5","ZDHHC17","Cluster 4"
"Q8IUI8","CRLF3","Cluster 1"
"Q8IUR0","TRAPPC5","Cluster 2"
"Q8IUR7","ARMC8","Cluster 2"
"Q8IUS5","EPHX4","Cluster 3"
"Q8IUW5","RELL1","Cluster 3"
"Q8IUX1","TMEM126B","Cluster 4"
"Q8IUX4","APOBEC3F","Cluster 3"
"Q8IUX7","AEBP1","Cluster 3"
"Q8IUZ5","PHYKPL","Cluster 1"
"Q8IV03","LURAP1L","Cluster 3"
"Q8IV08","PLD3","Cluster 4"
"Q8IV32","CCDC71","Cluster 3"
"Q8IV36","HID1","Cluster 3"
"Q8IV38","ANKMY2","Cluster 2"
"Q8IV48","ERI1","Cluster 2"
"Q8IV50","LYSMD2","Cluster 3"
"Q8IV53","DENND1C","Cluster 3"
"Q8IV56","PRR15","Cluster 3"
"Q8IV63","VRK3","Cluster 5"
"Q8IVB5","LIX1L","Cluster 5"
"Q8IVD9","NUDCD3","Cluster 1"
"Q8IVF2","AHNAK2","Cluster 3"
"Q8IVF7","FMNL3","Cluster 3"
"Q8IVG5","SAMD9L","Cluster 3"
"Q8IVH2","FOXP4","Cluster 5"
"Q8IVH4","MMAA","Cluster 4"
"Q8IVH8","MAP4K3","Cluster 2"
"Q8IVL0","NAV3","Cluster 3"
"Q8IVL5","P3H2","Cluster 3"
"Q8IVL6","P3H3","Cluster 3"
"Q8IVM0","CCDC50","Cluster 3"
"Q8IVN8","SBSPON","Cluster 3"
"Q8IVQ6","ZDHHC21","Cluster 3"
"Q8IVS2","MCAT","Cluster 5"
"Q8IVT2","MISP","Cluster 3"
"Q8IVU3","HERC6","Cluster 3"
"Q8IVV7","GID4","Cluster 4"
"Q8IVW6","ARID3B","Cluster 3"
"Q8IW19","APLF","Cluster 3"
"Q8IW35","CEP97","Cluster 1"
"Q8IW41","MAPKAPK5","Cluster 2"
"Q8IW50","FAM219A","Cluster 3"
"Q8IW92","GLB1L2","Cluster 3"
"Q8IWA0","WDR75","Cluster 4"
"Q8IWA4","MFN1","Cluster 4"
"Q8IWB1","ITPRIP","Cluster 3"
"Q8IWB7","WDFY1","Cluster 4"
"Q8IWB9","TEX2","Cluster 4"
"Q8IWC1","MAP7D3","Cluster 3"
"Q8IWD4","CCDC117","Cluster 1"
"Q8IWE2","FAM114A1","Cluster 3"
"Q8IWE4","DCUN1D3","Cluster 4"
"Q8IWE5","PLEKHM2","Cluster 4"
"Q8IWF2","FOXRED2","Cluster 4"
